"Species";"LENGTH_CLASS";"LENGTHS";"WEIGHTS";"OTOLITH"
"NEPR NOR";34;8;3;0
"NEPR NOR";35;11;4;0
"NEPR NOR";36;13;8;0
"NEPR NOR";37;9;5;0
"NEPR NOR";38;6;1;0
"NEPR NOR";39;10;8;0
"NEPR NOR";40;7;1;0
"NEPR NOR";41;3;2;0
"NEPR NOR";42;2;1;0
"NEPR NOR";43;3;3;0
"NEPR NOR";44;3;3;0
"NEPR NOR";45;2;2;0
"NEPR NOR";46;5;3;0
"NEPR NOR";47;2;1;0
"NEPR NOR";48;4;3;0
"NEPR NOR";49;1;0;0
"NEPR NOR";51;1;1;0
"NEPR NOR";52;2;1;0
"NEPR NOR";53;1;1;0
"NEPR NOR";54;2;1;0
"NEPR NOR";55;1;1;0
"PAPE LON";7;7;6;0
"PAPE LON";8;17;6;0
"PAPE LON";9;34;13;0
"PAPE LON";10;76;21;0
"PAPE LON";11;111;26;0
"PAPE LON";12;102;26;0
"PAPE LON";13;125;31;0
"PAPE LON";14;153;36;0
"PAPE LON";15;143;30;0
"PAPE LON";16;145;41;0
"PAPE LON";17;109;31;0
"PAPE LON";18;86;28;0
"PAPE LON";19;132;27;0
"PAPE LON";20;313;24;0
"PAPE LON";21;455;33;0
"PAPE LON";22;499;40;0
"PAPE LON";23;340;40;0
"PAPE LON";24;283;33;0
"PAPE LON";25;302;39;0
"PAPE LON";26;335;33;0
"PAPE LON";27;285;43;0
"PAPE LON";28;214;45;0
"PAPE LON";29;122;33;0
"PAPE LON";30;86;19;0
"PAPE LON";31;90;14;0
"PAPE LON";32;75;21;0
"PAPE LON";33;33;14;0
"PAPE LON";34;18;12;0
"PAPE LON";35;9;6;0
"PAPE LON";36;4;4;0
"PAPE LON";37;2;1;0
"PAPE LON";38;1;1;0
"RAJA AST";185;1;1;0
"RAJA AST";250;1;1;0
"RAJA AST";255;1;1;0
"RAJA AST";485;1;1;0
"RAJA AST";490;1;1;0
"RAJA AST";545;1;1;0
"RAJA CIR";275;1;1;0
"RAJA CIR";465;1;1;0
"RAJA CIR";475;1;1;0
"RAJA CIR";500;1;1;0
"RAJA CLA";170;1;1;0
"RAJA CLA";255;1;1;0
"RAJA CLA";300;1;1;1
"RAJA CLA";380;1;1;1
"RAJA CLA";390;1;1;0
"RAJA CLA";400;1;1;0
"RAJA CLA";415;1;1;0
"RAJA CLA";420;1;1;0
"RAJA CLA";425;2;2;0
"RAJA CLA";440;1;1;0
"RAJA CLA";445;1;1;1
"RAJA CLA";455;1;1;0
"RAJA CLA";465;1;1;0
"RAJA CLA";490;1;1;0
"RAJA CLA";495;1;1;0
"RAJA CLA";500;1;1;0
"RAJA CLA";510;1;1;0
"RAJA CLA";550;1;1;1
"RAJA MIR";155;1;1;0
"RAJA MIR";165;2;2;0
"RAJA MIR";180;2;2;0
"RAJA MIR";185;1;1;0
"RAJA MIR";190;2;2;0
"RAJA MIR";195;1;1;0
"RAJA MIR";200;1;1;0
"RAJA MIR";210;1;1;0
"RAJA MIR";215;1;1;0
