"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
101;"TRIS";"CAP";65;60.3631763311899;7.68154353470343
117;"SPIC";"FLE";65;61.1876826163919;6.23053075487255
156;"TRIG";"LUC";65;50.6373814520694;28.3636675832566
110;"SPIC";"SMA";65;60.8030308062735;6.90256577356904
158;"BOOP";"BOO";70;61.5203295338262;13.7835257555168
131;"TRIS";"CAP";70;52.6491096791025;32.9557145916647
78;"ARIS";"FOL";70;65.6189812248881;6.67645046194388
76;"TRIP";"LAS";70;56.7905058462515;23.2600396085756
150;"TRIP";"LAS";70;56.7905058462515;23.2600396085756
148;"PAPE";"LON";70;42.3081372534331;65.4528054040475
83;"NEPR";"NOR";70;58.2395557760558;20.1932244627101
148;"NEPR";"NOR";70;40.0941558286793;74.5890356168296
150;"SPIC";"SMA";70;67.8922497974878;3.10455200527199
156;"TRAC";"TRA";70;71.9232808076908;-2.67407268702511
104;"PAGE";"ACA";75;68.092042286468;10.1450294066224
107;"PHYI";"BLE";75;60.1816331886265;24.6227395739303
150;"PHYI";"BLE";75;60.4553733314678;24.0584514941065
157;"HELI";"DAC";75;77.4503618690339;-3.16378362850953
117;"TRIG";"LUC";75;73.5777841013314;1.93294200965594
131;"SPIC";"SMA";75;71.8639151596246;4.36392149441003
133;"SPIC";"SMA";75;64.796999381955;15.746100460458
83;"MULL";"SUR";75;68.6556292446138;9.24086025456375
88;"OCTO";"VUL";75;59.2405775003935;26.6024120029921
161;"PAGE";"ACA";80;87.6912164880208;-8.77079460868405
104;"BOOP";"BOO";80;73.9987463586843;8.10993960928288
135;"BOOP";"BOO";80;78.9989893802386;1.26711826013793
83;"ASPI";"CUC";80;80.8177633557163;-1.01186090997958
95;"HELI";"DAC";80;74.8982135954571;6.81162628537288
137;"HELI";"DAC";80;56.8995750927245;40.5985894791493
76;"MULL";"SUR";80;81.2894817243226;-1.586283608863
156;"MULL";"SUR";80;81.2894817243226;-1.586283608863
76;"ASPI";"CUC";85;86.2039521662171;-1.39663221460613
121;"SPIC";"FLE";85;59.9214592184313;41.8523532448536
133;"NEPR";"NOR";85;76.2621138811919;11.4577024870052
95;"SPIC";"SMA";85;83.0800391895208;2.31097725664218
162;"SPIC";"SMA";85;71.9994497773282;18.0564577408278
86;"PAGE";"BOG";90;82.4060274907996;9.21531196252391
84;"LEPM";"BOS";90;87.914852480076;2.37178071861809
107;"PAPE";"LON";90;97.9384169724558;-8.10551897595856
97;"SPIC";"SMA";90;89.597604432047;0.44911420400551
95;"EUTR";"GUR";95;95.8755637033241;-0.9132292624985
132;"PAPE";"LON";95;71.7939455926587;32.323135629022
139;"PAPE";"LON";95;72.0682734932539;31.8194475810394
144;"PAPE";"LON";95;70.2805065971606;35.1726169882761
100;"MERL";"MER";95;95.2505788908975;-0.263073352220319
135;"TRAC";"TRA";95;109.222828403363;-13.0218459009666
121;"LOLI";"VUL";95;97.7039768553128;-2.76751974929025
137;"PHYI";"BLE";100;65.6875623675324;52.2358212053661
109;"BOOP";"BOO";100;88.4774675707067;13.0231263910047
95;"TRIS";"CAP";100;97.2704331061835;2.80616298977181
97;"TRIS";"CAP";100;71.8870752540137;39.1070643041869
107;"TRIS";"CAP";100;96.3949473655135;3.73987717511451
133;"EUTR";"GUR";100;102.48213759452;-2.42201973220051
123;"TRIG";"LUC";100;104.737713968528;-4.52340784328294
88;"TRAC";"MED";100;87.0420311719147;14.8870248701944
100;"TRAC";"MED";100;95.3632919169105;4.86215187194824
125;"LOPH";"PIS";100;71.3613167001806;40.1319435011867
126;"MULL";"SUR";100;111.093799405905;-9.98597533366468
150;"MULL";"SUR";100;87.2541455743745;14.6077350728982
109;"TRAC";"TRA";100;112.20790467008;-10.8797189520422
150;"EUTR";"GUR";105;112.932154099829;-7.02382254465567
135;"ILLE";"COI";110;100.916968857497;9.0004993662951
134;"TRIS";"CAP";115;108.642831157003;5.85143886190689
85;"MULL";"SUR";115;119.552657442524;-3.808077160236
154;"TRIS";"CAP";120;88.8490799797868;35.0604868697572
162;"TRIS";"CAP";120;126.20952961959;-4.9200164506641
101;"SPIC";"FLE";120;116.474995163012;3.02640479362502
151;"ARIS";"FOL";120;116.546820951636;2.96291140347564
126;"LOPH";"PIS";120;110.398247421717;8.69737772340279
80;"PAGE";"ACA";125;130.24620636575;-4.02791490987266
139;"PAGE";"ACA";125;112.788649955897;10.8267543311125
156;"PAGE";"ERY";125;148.033290617136;-15.5595342919911
