TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;F;2;65;1;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;M;4;65;1;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;M;4;75;1;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;M;4;90;3;A;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;F;2;115;1;;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;C;OCTO;VUL;0;2265;2265;M;4;160;3;A;1
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;55;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;60;ND;ND;80
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;65;ND;ND;93
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;70;ND;ND;32
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;75;ND;ND;9
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;80;ND;ND;7
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;85;ND;ND;46
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;90;ND;ND;72
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;95;ND;ND;108
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;100;ND;ND;88
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;105;ND;ND;59
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;110;ND;ND;15
TC;ITA;18;MIZ;2021;8;16;125;S;S;Ao;ENGR;ENC;0;2420;2420;N;612;115;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;115;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;120;ND;ND;16
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;125;ND;ND;54
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;130;ND;ND;43
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;135;ND;ND;30
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;140;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SARD;PIL;0;5460;2730;N;148;145;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SPIC;FLE;0;20;20;N;1;110;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;MED;0;30;30;N;4;75;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;MED;0;30;30;N;4;80;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;MED;0;30;30;N;4;85;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;MED;0;30;30;N;4;140;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;65;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;75;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;80;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;90;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;95;ND;ND;6
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;100;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;105;ND;ND;7
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRAC;TRA;0;210;210;N;24;110;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;115;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;120;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;125;ND;ND;5
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;130;ND;ND;6
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;135;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;140;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;145;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;BOOP;BOO;0;130;130;N;20;180;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIS;CAP;0;40;40;N;4;90;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIS;CAP;0;40;40;N;4;95;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIS;CAP;0;40;40;N;4;105;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIG;LUC;0;50;50;N;4;165;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIG;LUC;0;50;50;N;4;195;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;TRIG;LUC;0;50;50;N;4;200;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;LOPH;BUD;0;180;180;N;2;115;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;LOPH;BUD;0;180;180;N;2;170;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;105;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;110;ND;ND;4
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;115;ND;ND;21
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;120;ND;ND;38
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;125;ND;ND;54
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;130;ND;ND;19
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;135;ND;ND;11
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;140;ND;ND;4
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;PNE;0;2140;2140;N;153;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;SCOM;SCO;0;90;90;N;1;225;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Bst;SQUI;MAN;m;20;20;F;1;20;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;35;0;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;40;0;;4
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;45;0;;6
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;50;0;;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;55;0;;6
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;60;0;;5
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;65;0;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;70;0;;3
