TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;SPRA;SPR;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;16;109;S;S;Bst;SQUI;MAN;FM;45;1;0;1;0
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;TRAC;MED;FM;60;12;0;0;12
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;TRAC;TRA;FM;110;11;0;0;11
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;TRIG;LUC;FM;80;6;0;0;6
TB;ITA;18;MIZ;2021;8;16;109;S;S;Ao;ZEUS;FAB;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;138;S;S;C;ALLO;SPP;FM;150;60;0;0;60
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;BOOP;BOO;FM;45;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;CAPO;APE;FM;2;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;138;S;S;Dmg;CASS;ECH;FM;80;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;ENGR;ENC;FM;2640;254;0;0;254
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;HELI;DAC;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;138;S;S;C;ILLE;COI;FM;1435;101;1;2;98
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;LOPH;BUD;FM;210;1;1;0;0
TB;ITA;18;MIZ;2021;8;17;138;S;S;B;MCPI;DEP;FM;40;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;MERL;MER;FM;605;26;4;2;20
TB;ITA;18;MIZ;2021;8;17;138;S;S;Emb;NEOP;COC;FM;170;0;0;0;0
TB;ITA;18;MIZ;2021;8;17;138;S;S;B;PAPE;LON;FM;37;5;4;1;0
TB;ITA;18;MIZ;2021;8;17;138;S;S;G;RAJA;EGG;FM;10;1;0;0;1
