TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;LITTER_CATEGORY;LITTER_SUB_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_CATEGORY;TOTAL_WEIGHT_IN_THE_HAUL_SUB_CATEGORY;TOTAL_NUMBER_IN_THE_HAUL_SUB_CATEGORY
TL;ITA;18;MIZ;2021;8;23;133;L1;G;20;1;10;1
TL;ITA;18;MIZ;2021;8;17;100;L1;G;250;7;20;1
TL;ITA;18;MIZ;2021;8;28;85;L1;G;50;4;30;1
TL;ITA;18;MIZ;2021;8;22;148;L1;G;120;4;10;1
TL;ITA;18;MIZ;2021;8;27;157;L1;G;60;4;10;1
TL;ITA;18;MIZ;2021;8;16;125;L1;G;190;7;10;1
TL;ITA;18;MIZ;2021;8;24;132;L1;G;30;3;10;1
TL;ITA;18;MIZ;2021;8;24;154;L1;G;91;8;1;1
TL;ITA;18;MIZ;2021;8;22;116;L1;G;190;5;10;1
TL;ITA;18;MIZ;2021;8;20;144;L1;G;80;6;10;1
TL;ITA;18;MIZ;2021;8;21;129;L1;G;10;1;10;1
TL;ITA;18;MIZ;2021;8;20;145;L1;G;30;3;10;1
TL;ITA;18;MIZ;2021;8;20;143;L1;H;20;2;10;1
TL;ITA;18;MIZ;2021;8;18;117;L1;H;300;5;180;1
TL;ITA;18;MIZ;2021;8;18;121;L1;H;1020;14;20;1
TL;ITA;18;MIZ;2021;8;24;101;L1;H;40;6;20;1
TL;ITA;18;MIZ;2021;8;16;125;L1;H;190;7;90;1
TL;ITA;18;MIZ;2021;8;21;126;L1;H;90;3;40;2
TL;ITA;18;MIZ;2021;8;23;161;L1;H;800;14;620;4
TL;ITA;18;MIZ;2021;8;20;144;L1;H;80;6;20;1
TL;ITA;18;MIZ;2021;8;18;123;L1;H;490;9;410;6
TL;ITA;18;MIZ;2021;8;20;139;L1;H;50;1;50;1
TL;ITA;18;MIZ;2021;8;24;132;L1;I;30;3;10;1
TL;ITA;18;MIZ;2021;8;24;101;L1;I;40;6;10;1
TL;ITA;18;MIZ;2021;8;16;112;L1;I;20;3;10;1
TL;ITA;18;MIZ;2021;8;16;109;L1;I;100;6;10;2
TL;ITA;18;MIZ;2021;8;22;116;L2;B;80;1;80;1
TL;ITA;18;MIZ;2021;8;22;142;L3;A;30;1;30;1
TL;ITA;18;MIZ;2021;8;23;161;L3;A;30;1;30;1
TL;ITA;18;MIZ;2021;8;20;145;L3;B;20;1;20;1
TL;ITA;18;MIZ;2021;8;23;134;L3;B;20;1;20;1
TL;ITA;18;MIZ;2021;8;22;116;L3;C;8000;1;8000;1
TL;ITA;18;MIZ;2021;8;17;105;L3;D;380;1;380;1
TL;ITA;18;MIZ;2021;8;20;139;L4;A;860;3;860;3
TL;ITA;18;MIZ;2021;8;20;146;L4;D;1100;1;1100;1
TL;ITA;18;MIZ;2021;8;27;156;L5;A;25;1;25;1
TL;ITA;18;MIZ;2021;8;20;162;L5;A;50;1;50;1
TL;ITA;18;MIZ;2021;8;27;77;L5;A;50;1;50;1
TL;ITA;18;MIZ;2021;8;27;76;L5;A;80;1;80;1
TL;ITA;18;MIZ;2021;8;28;86;L5;A;50;1;50;1
TL;ITA;18;MIZ;2021;8;27;157;L5;A;25;1;25;1
TL;ITA;18;MIZ;2021;8;27;84;L5;A;10;1;10;1
TL;ITA;18;MIZ;2021;8;30;158;L5;A;700;1;700;1
TL;ITA;18;MIZ;2021;8;23;133;L5;A;300;1;300;1
TL;ITA;18;MIZ;2021;8;22;116;L5;B;4660;1;4660;1
TL;ITA;18;MIZ;2021;8;23;161;L5;B;480;1;480;1
TL;ITA;18;MIZ;2021;8;24;152;L5;D;20;1;20;1
TL;ITA;18;MIZ;2021;8;28;83;L5;E;1300;1;1300;1
TL;ITA;18;MIZ;2021;8;30;158;L6;0;100;1;100;1
TL;ITA;18;MIZ;2021;8;30;97;L6;0;400;1;400;1
TL;ITA;18;MIZ;2021;8;17;80;L6;0;300;1;300;1
TL;ITA;18;MIZ;2021;8;22;116;L8;0;160;1;160;1
TL;MON;18;MIZ;2021;8;25;177;L1;A;1700;4;1000;2
TL;MON;18;MIZ;2021;8;25;174;L1;A;30;1;30;1
TL;MON;18;MIZ;2021;8;25;176;L1;B;150;2;100;1
TL;MON;18;MIZ;2021;8;25;177;L1;B;1700;4;300;1
TL;MON;18;MIZ;2021;8;25;177;L1;F;1700;4;400;1
TL;MON;18;MIZ;2021;8;25;179;L1;G;50;1;50;1
TL;MON;18;MIZ;2021;8;25;176;L1;G;150;2;50;1
TL;MON;18;MIZ;2021;8;25;178;L1;G;20;1;20;1
TL;MON;18;MIZ;2021;8;25;176;L3;A;50;1;50;1
TL;MON;18;MIZ;2021;8;25;174;L3;A;35;1;35;1
TL;MON;18;MIZ;2021;8;25;179;L3;A;20;1;20;1
TL;MON;18;MIZ;2021;8;25;177;L3;B;300;1;300;1
TL;MON;18;MIZ;2021;8;25;178;L5;A;280;1;280;1
TL;MON;18;MIZ;2021;8;25;176;L5;B;1500;1;1500;1
TL;MON;18;MIZ;2021;8;25;179;L5;C;20;1;20;1
