"Survey";"Year";"Haul";"Month";"Stratum";"SweptSurface";"Lat";"Long";"Depth"
"MEDITS-GSA18";1995;113;7;3;0.048;41.46233;16.81292;111.5
"MEDITS-GSA18";1995;114;7;2;0.044;41.33917;16.53783;52
"MEDITS-GSA18";1995;115;7;1;0.043;41.3355;16.44658;28
"MEDITS-GSA18";1995;116;7;5;0.102;41.58217;17.16958;561
"MEDITS-GSA18";1995;117;7;1;0.044;41.80833;16.37458;47
"MEDITS-GSA18";1995;118;7;1;0.044;41.7165;16.38667;47
"MEDITS-GSA18";1995;119;7;1;0.043;41.70067;16.31925;31
"MEDITS-GSA18";1995;120;7;1;0.041;41.70108;16.26892;17.5
"MEDITS-GSA18";1995;121;7;1;0.041;41.68867;16.22867;15
"MEDITS-GSA18";1995;122;7;1;0.043;41.68217;16.37467;43
"MEDITS-GSA18";1995;123;7;1;0.043;41.57758;16.36033;38
"MEDITS-GSA18";1995;124;7;1;0.044;41.59425;16.39925;47.5
"MEDITS-GSA18";1995;125;7;1;0.044;41.52908;16.39167;44.5
"MEDITS-GSA18";1995;126;7;2;0.046;41.73725;16.47425;76.5
"MEDITS-GSA18";1995;127;7;2;0.047;41.63633;16.52792;82
"MEDITS-GSA18";1995;128;7;2;0.047;41.608;16.54442;83
"MEDITS-GSA18";1995;129;7;2;0.044;41.61025;16.40525;55.5
"MEDITS-GSA18";1995;130;7;2;0.046;41.539;16.52583;76
"MEDITS-GSA18";1995;131;7;2;0.047;41.48217;16.55392;77
"MEDITS-GSA18";1995;132;7;3;0.048;41.92025;16.59;114
"MEDITS-GSA18";1995;133;7;3;0.049;41.90358;16.683;137.5
"MEDITS-GSA18";1995;134;7;3;0.048;41.87542;16.69575;136.5
"MEDITS-GSA18";1995;135;7;3;0.048;41.69983;16.67683;107.5
"MEDITS-GSA18";1995;136;7;3;0.051;41.5865;16.81817;121.5
"MEDITS-GSA18";1995;137;7;3;0.049;41.57467;16.93458;152.5
"MEDITS-GSA18";1995;138;7;3;0.048;41.58258;16.6765;101
"MEDITS-GSA18";1995;139;7;4;0.099;41.92283;16.82017;223.5
"MEDITS-GSA18";1995;140;7;4;0.104;41.88283;16.8625;255
"MEDITS-GSA18";1995;141;7;4;0.099;41.80875;16.87517;234
"MEDITS-GSA18";1995;142;7;4;0.099;41.57208;17.02983;297
"MEDITS-GSA18";1995;143;7;5;0.105;42.02075;17.0085;592
