"Survey";"Year";"Haul";"Species";"Sex";"Maturity";"Length";"Number";"Weight";"Age"
"MEDITS-GSA18";1994;83;"ELEDCIR";"f";"i";12;2;NA;NA
"MEDITS-GSA18";1994;84;"ELEDCIR";"f";"i";12;45;NA;NA
"MEDITS-GSA18";1994;90;"ELEDCIR";"f";"i";12;63;NA;NA
"MEDITS-GSA18";1994;97;"ELEDCIR";"f";"i";12;65;NA;NA
"MEDITS-GSA18";1994;139;"LEPMBOS";"f";"i";12;45;NA;NA
"MEDITS-GSA18";1994;142;"LEPMBOS";"f";"i";12;35;NA;NA
"MEDITS-GSA18";1994;82;"LEPMBOS";"f";"i";12;58;NA;NA
"MEDITS-GSA18";1994;81;"MERLMER";"f";"i";12;41;NA;NA
"MEDITS-GSA18";1994;89;"MERLMER";"f";"i";12;58;NA;NA
"MEDITS-GSA18";1994;88;"OCTOVUL";"f";"i";12;1;NA;NA
"MEDITS-GSA18";1994;133;"TRACTRA";"f";"i";12;58;NA;NA
"MEDITS-GSA18";1994;84;"TRISCAP";"f";"i";12;69;NA;NA
"MEDITS-GSA18";1994;90;"TRISCAP";"f";"i";12;65;NA;NA
"MEDITS-GSA18";1994;93;"ILLECOI";"i";"i";12;54;NA;NA
"MEDITS-GSA18";1994;79;"LOLIVUL";"i";"i";12;28;NA;NA
"MEDITS-GSA18";1994;107;"LOPHBUD";"i";"i";12;54;NA;NA
"MEDITS-GSA18";1994;133;"LOPHBUD";"i";"i";12;22;NA;NA
"MEDITS-GSA18";1994;76;"LOPHPIS";"i";"i";12;1;NA;NA
"MEDITS-GSA18";1994;117;"MERLMER";"i";"i";12;23;NA;NA
"MEDITS-GSA18";1994;118;"MERLMER";"i";"i";12;34;NA;NA
"MEDITS-GSA18";1994;127;"MERLMER";"i";"i";12;45;NA;NA
"MEDITS-GSA18";1994;128;"MERLMER";"i";"i";12;69;NA;NA
"MEDITS-GSA18";1994;132;"MERLMER";"i";"i";12;5;NA;NA
