N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
899;OCTOSAL;Octopus salutii;Vérany, 1836;F;OCT Oct 23;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23;
900;OCTOSPP;Octopus spp.;Cuvier, 1798;F;OCT Oct;;C;0;7, 8, 9, 17, 22;
901;OCTOTET;Pteroctopus tetracirrhus;(Delle Chiaje, 1830);F;OCT Pter 1;c3;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 20, 22, 23;
902;OCTOVUL;Octopus vulgaris;Cuvier, 1797;F;OCT Oct 1;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
903;OCYTTUB;Ocythoe tuberculata;Rafinesque, 1814;F;OCY ocy 1;;C;0;6;
904;ODOAMED;Odontaster mediterraneus;(Marenzeller, 1893);;;;Eec;0;1, 2, 6, 18, 19;2011 (18, 19)
905;ODODBAL;Odondebuenia balearica;(Pellegrin & Fage, 1907) ;C;162.20.01;;Ao;0;1, 2, 5, 6;2013 (1, 2, 5, 6)
906;ODONTAU;Carcharias taurus;Rafinesque, 1810;C;5.01.03;a39;Ae;0;5;
907;OEDALAB;Oedalechilus labeo;(Cuvier, 1829);C;181.04.01;;Ao;0;10;
908;OKENELE;Okenia elegans;(Leuckart, 1828);;;;Emg;;7;2013 (7)
909;OLIGATE;Grammonus ater;(Risso, 1810);C;172.01.01;a40;Ao;0;7, 8, 9, 11, 17;
910;OMMADAE;Ommastrephidae;Steenstrup, 1857;;;;C;;6;2013 (6)
911;ONYCBAN;Onychoteuthis banksii;(Leach, 1817);F;ONYCHO;;C;0;1, 5, 6, 7, 8, 9, 10, 15, 17, 19;
912;OPDELON;Ophioderma longicauda;(Bruzelius, 1805);R;p. 573 Tav. 226;;Eec;0;1, 2, 5, 6, 10, 11;2011 (10)
913;OPDIBAR;Ophidion barbatum;Linnaeus, 1758;C;173.01.01;;Ao;0;1, 2, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 22, 25;
914;OPDIROC;Ophidion rochei;Müller, 1845;C;173.1.2+3;;Ao;0;1, 5, 22;
