N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
244;CARDECH;Acanthocardia echinata;(Linnaeus, 1758);F;CARD Acan 2;d8;Dmb;0;1, 6, 7, 8, 9;
245;CARDPAU;Acanthocardia paucicostata;(G. B. Sowerby II, 1834);;;d9;Dmb;;1, 9, 10, 16;2013 (1)
246;CARDSPI;Acanthocardia spinosa;(Lightfoot, 1786);;;d10;Dmb;0;6;
247;CARDSPP;Acanthocardia spp.;Gray, 1851;;;d11;Dmb;;9, 16;2013 (16)
248;CARDTUB;Acanthocardia tuberculata;(Linnaeus, 1758) ;;;d12;Dmb;;1, 5, 16;2013 (1, 5)
249;CARECAR;Caretta caretta;(Linnaeus, 1758) ;;;;R;;17;2014 (17)
250;CARISPP;Cardiomya;Adams, 1864;R;p. 348;;Emb;0;6, 17;
251;CARISTE;Caridion steveni;Lebour, 1930;F;HIPPOL;?;B;m;6;
252;CARPACU;Carapus acus;(Brünnich, 1768);C;175.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
253;CARRDAE;Cardiidae;Lamarck, 1809;;;;Emb;;5;2013 (5)
254;CARYSMI;Caryophyllia smithii;Stokes & Broderip, 1828;R;p. 169 Tav. 61;;Ecn;0;5, 6, 9, 18;2011 (18)
255;CARYSPP;Caryophyllia spp.;Lamarck, 1801 ;;;;Ecn;;5, 19;2013 (5)
256;CASSECH;Galeodea echinophora;(Linnaeus, 1758);F;CASS Cass 1;d13;Dmg;0;1, 2, 6, 7, 9, 10, 11, 15, 17, 18, 19;
257;CASSSAB;Semicassis saburon;(Bruguière, 1792);F;CAS Phal 2;d14;Dmg;0;1, 2, 6, 10;
258;CASSSPP;Galeodea spp.;Link, 1807;;;d15;Dmg;;16, 17;2013 (16)
259;CASSTYR;Galeodea rugosa;(Linnaeus, 1771);F;CASS Cass 2;d16;Dmg;0;1, 2, 5, 6, 9, 10, 11, 15, 17, 18;
260;CATAALL;Cataetyx alleni;(Byrne, 1906);C;172.06.01;;Ao;0;1, 5, 6, 7, 9, 11;
261;CAULPRO;Caulerpa prolifera;Lamouroux, 1809 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
262;CAULRAC;Caulerpa racemosa;J. Agardh, 1873 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
263;CAVOTRI;Cavolinia tridentata;(Forsskål, 1775);;;;Emo;0;9, 19;2011 (9)
264;CEATEAE;Ceratiaceae;Kofoid, 1907;;;;V;;1;2014 (1)
265;CECACIR;Centracanthus cirrus;Rafinesque, 1810;C;141.01.01;;Ao;0;2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
266;CELLHAS;Celleporina caliciformis;(Lamouroux, 1816);;;e7;Ebr;0;10, 18;2011 (18)
267;CELPPUM;Cellepora pumicosa;(Pallas, 1766);;;;Ebr;;18;2013 (18)
268;CELRFIS;Cellaria fistulosa;(Linnaeus, 1758) ;;;;Ebr;;5;2013 (5)
269;CELRSAL;Cellaria salicornioides;Lamouroux, 1816;;;;Ebr;;10, 18;2013 (10, 18)
270;CENONIG;Centrolophus niger;(Gmelin, 1789);C;176.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 22;
271;CENSLON;Centrostephanus longispinus;(Philippi, 1845);R;p. 556 Tav. 221;;Eec;0;1, 2, 5, 7, 8, 15, 18;2011 (18)
272;CENTGRA;Centrophorus granulosus;(Bloch & Schneider, 1801);C;16.01.02;;Ae;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 22, 25;
273;CENTUYA;Squalus uyato;Rafinesque, 1810;C;16.02.04;a15;Ae;0;7, 8, 10, 15, 16, 20, 25;
274;CEPHVOL;Dactylopterus volitans;(Linnaeus, 1758);C;193.01.01;a16;Ao;0;1, 5, 6, 11, 15, 16, 19, 20, 22, 25;
275;CEPOMAC;Cepola macrophthalma;(Linnaeus, 1758);C;128.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
276;CERAMAD;Ceratoscopelus maderensis;(Lowe, 1839);C;58.04.01;;Ao;0;1, 2, 5, 6, 8, 9, 10, 11, 16, 17, 18, 19, 20, 22, 25;
277;CEREPED;Cereus pedunculatus;(Pennant, 1777);;;;Ecn;;16;2013 (16)
278;CERIMEM;Cerianthus membranaceus;(Spallanzani, 1784) ;;;;Ecn;;1, 6;2013 (1, 6)
279;CERISPP;Cerianthus spp.;Delle Chiaje, 1830;;;;Ecn;;1, 2, 5, 6;2013 (1, 2, 5, 6)
280;CERMGRE;Ceramaster grenadensis;(Perrier, 1881);;;;Eec;0;19;2011 (19)
281;CERSEDU;Cerastoderma edule ;(Linnaeus, 1758);;;;Dmb;;16;2013 (16)
282;CERTVUL;Cerithium vulgatum;Bruguière, 1792;;;d17;Dmg;;9, 16;2013 (16)
283;CERUSPP;Ceratium spp.;Schrank, 1793;;;;V;;1;2014 (1)
284;CHAELON;Chaetaster longipes;(Retzius, 1805);R;p. 565 Tav. 223;;Eec;0;1, 2, 5, 6, 18, 19;2011 (18)
285;CHAMGAL;Chamelea gallina;(Linnaeus, 1758) ;;;;Dmb;;1, 5;2013 (1, 5)
286;CHATVAR;Chaetopterus variopedatus;(Renier, 1804) ;;;;Epo;;5;2013 (5)
287;CHAUSLO;Chauliodus sloani;Bloch & Schneider, 1801;C;40.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
288;CHELAFR;Chelidonura africana;Pruvot-Fol, 1953;;;;Emo;;10;2013 (10)
289;CHEOLAB;Chelon labrosus;(Risso, 1827);C;181.02.01;;Ao;0;1, 6;
290;CHIMMON;Chimaera monstrosa;Linnaeus, 1758;C;26.01.01;;Ae;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
291;CHIRVER;Chiroteuthis veranii;(Férussac, 1835);F;CHIRO Chiro 1;;C;0;11, 19;2011 (19)
292;CHLAOPE;Aequipecten opercularis;(Linnaeus, 1758);F;PECT Aeq 1;d1;Dmb;0;1, 5, 6, 9, 17, 18, 19;
293;CHLASPP;Mimachlamys spp.;Iredale, 1929;;;;Dmb;;5, 6;2014 (5, 6)
294;CHLAVAR;Mimachlamys varia;(Linnaeus, 1758);F;PECT Chlam 1;d18;Dmb;0;1, 5, 6, 7, 8, 9, 10, 15, 17, 18, 19;
295;CHLEVEN;Chloeia venusta;Quatrefages, 1866;;;;Epo;;5;2013 (5)
296;CHLOGRA;Chlorotocus crassicornis;(A. Costa, 1871);Z;98;b2;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
297;CHMAGRY;Chama gryphoides;Linnaeus, 1758;;;;Emb;;16;2013 (16)
298;CHODNUC;Chondrilla nucula;Schmidt, 1862;;;;Esp;;19;2014 (19)
299;CHONREN;Chondrosia reniformis;Nardo, 1847;R;p. 109 Tav. 36;;Esp;0;5, 10, 18, 19;2011 (10, 18)
300;CHROCHR;Chromis chromis;(Linnaeus, 1758);C;144.01.01;;Ao;0;8, 9, 11, 16, 22, 25;
301;CHRYHYS;Chrysaora hysoscella;(Linnaeus, 1767);;;;Ecn;;6;2013 (6)
302;CHTESIC;Chtenopteryx sicula;(Vérany, 1851);F;CTENO Cteno 1;;C;0;9, 11, 19;2011 (9, 19)
303;CHYLVER;Chylocladia verticillata;Bliding, 1928 ;;;;V;;1, 2, 5, 6 ;2013 (1, 2, 5, 6)
304;CIDACID;Cidaris cidaris;(Linnaeus, 1758);R;p. 555 Tav. 221;;Eec;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19;2011 (9, 10, 18, 19)
305;CIONEDW;Ciona edwardsi;Roule, 1884 ;;;;Etu;;5;2013 (5)
306;CIONINT;Ciona intestinalis;(Linnaeus, 1767);F;CION Cion 1;;Etu;0;2, 5, 6, 9, 18;2011 (18)
307;CIONSPP;Ciona spp.;Fleming, 1822 ;;;;Etu;;5;2013 (5)
308;CIRCCAS;Venus casina;Linnaeus, 1758;F;VEN;d19;Dmb;0;1, 5, 6, 19;
309;CIROBOR;Natatolana borealis;(Lilljeborg, 1851);R;p. 484 Tav. 193;b3;Bis;0;1, 2, 5, 6, 19;
310;CITHMAC;Citharus linguatula;(Linnaeus, 1758);C;194.01.01;a17;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
311;CLATCOR;Clathria coralloides;(Scopoli, 1772);;;;Esp;;1, 2, 5, 6, 16;2013 (1, 2, 5, 6)
312;CLAUFAS;Clausinella fasciata;(Da Costa, 1778);;;;Emb;;7, 8;2013 (1, 2, 5, 6, 7, 8)
313;CLIOCEL;Cliona celata;Grant, 1826;;;;Esp;;1, 2, 5, 6;2013 (1, 2, 5, 6)
314;CLIOVIR;Cliona viridis;(Schmidt, 1862);;;;Esp;;1, 2, 5, 6;2013 (1, 2, 5, 6)
315;CLOPBIC;Chlopsis bicolor;Rafinesque, 1810;C;77.01.01;;Ao;0;1, 5, 6, 7, 9, 18, 19;
316;CLORAGA;Chlorophthalmus agassizi;Bonaparte, 1840;C;55.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
317;CLPOLYP;Polyplacophora;Gray, 1821;;;;Emp;;5;2013 (5)
318;CNIDRIA;Cnidaria;Hatschek, 1888;;;;Ecn;;1, 5, 6;2014 (1, 5, 6)
319;COBLGAL;Coryphoblennius galerita;(Linnaeus, 1758);C;164.02.01;;Ao;0;7;
320;CODIADH;Codium adhaerens;C. Agardh, 1822;;;;V;;19;2014 (19)
321;CODIBUR;Codium bursa;C. Agardh, 1817 ;R;p. 26 Tav. 9;;V;;1, 5, 6, 7, 8, 9, 11, 18, 19;2011 (9, 18)
322;CODISPP;Codium spp.;Stackhouse, 1797;;;;V;;7, 8;2013 (7, 8)
323;CODIVER;Codium vermilara;Delle Chiaje, 1829;R;p. 26 Tav. 9;;V;;1, 5, 6, 9, 11, 18;2011 (18)
324;COELCOE;Coelorinchus caelorhincus;(Risso, 1810);C;99.12.01;a18;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
325;COELMED;Coelorinchus mediterraneus;Iwamoto & Ungaro, 2002;;;;Ao;0;11;2014 (11)
326;COELOCC;Coelorinchus occa;(Goode & Bean, 1885);C;99.12.02;;Ao;0;1, 2, 6, 15;
327;COLPSIN;Colpomenia sinuosa;Derbès & Solier, 1851 ;;;;V;;1, 6;2013 (1, 6)
328;COLUGRA;Colus gracilis;(Da Costa, 1778) ;;;?;Emg;;1, 2, 5, 6;2013 (1, 2, 5, 6)
329;COLUJEF;Colus jeffreysianus;(P. Fischer, 1868) ;;;?;Emg;;1, 2;2013 (1, 2)
330;COLUSPP;Colus spp.;Röding, 1798 ;;;?;Emg;;5;2013 (5)
331;CONGCON;Conger conger;(Linnaeus, 1758);C;82.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
332;CORAMEY;Coralliophila meyendorffii;(Calcara, 1845);;;;Emg;;16;2013 (16)
333;CORASQU;Hirtomurex squamosus;(Bivona, 1838) ;;;e8;Emg;;5, 16;2013 (5)
334;CORIJUL;Coris julis;(Linnaeus, 1758);C;145.04.01;;Ao;0;1, 2, 5, 6, 8, 9, 11, 15, 16, 20, 22, 25;
335;CORLEAE;Corallinaceae;Lamouroux, 1812;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
336;CORSCAS;Corystes cassivelaunus;(Pennant, 1777);Z;340;;B;m;9;2011 (9)
337;COSCTEN;Coscinasterias tenuispina;(Lamarck, 1816) ;;;;Eec;;5;2013 (5)
338;CRAICRA;Craniella cranium;(Müller, 1776);;;;Esp;;1, 2, 5, 6;2013 (1, 2, 5, 6)
339;CRANSPP;Crangon;Fabricius, 1798;F;CRANG;;B;m;9, 11, 22, 25;
340;CRASGIG;Crassostrea gigas;(Thunberg, 1793);F;OSTR Crass 1;AL;Dmb;0;5, 6;
341;CRASSPP;Crassostrea;Sacco, 1897;F;OSTR;;Dmb;0;1, 6;
342;CREPGIB;Crepidula moulinsii;Michaud, 1829;;;e9;Emg;;16;2013 (16)
343;CREPUNG;Crepidula unguiformis;Lamarck, 1822;;;;Emg;;16;2013 (16)
344;CRYPTUN;Cryptonemia tunaeformis;Zanardini ;;;;V;;5;2013 (5)
345;CTENORA;Ctenophora;Eschscholtz, 1829;;;;Ect;;1, 2, 5, 6;2013 (1, 2, 5, 6)
346;CTEORUP ;Ctenolabrus rupestris ;(Linnaeus, 1758);;;;Ao;0;17;2014 (17)
347;CUBIGRA;Cubiceps gracilis;(Lowe, 1843);C;177.02.01;;Ao;0;10, 15, 16, 19, 22;
348;CUSPCUS;Cuspidaria cuspidata;(Olivi, 1792);R;p. 348 Tav. 133;;Emb;0;1, 6;
349;CUSPROS;Cuspidaria rostrata;(Spengler, 1793);;;;Emb;;16;2013 (16)
350;CUSPSPP;Cuspidaria spp.;Nardo, 1840;;;;Emb;;1;2013 (1)
351;CUTLCHI;Cutleria chilosa;Silva, 1957;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
352;CUTLSPP;Cutleria spp.;Greville, 1830;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
353;CYCLBRA;Cyclothone braueri;Jespersen & Tåning, 1926;C;37.04.03;;Ao;m;1, 5, 6, 9;2011 (9)
354;CYCLPIG;Cyclothone pygmaea;Jespersen & Tåning, 1926;C;37.04.08;;Ao;m;1, 6, 9;
355;CYCLSPP;Cyclothone spp.;Goode & Bean, 1883;C;37.4;;Ao;m;6, 22;
356;CYLICYL;Cylichna cylindracea;(Pennant, 1777);R;p. 275 Tav. 106;;Emo;0;18;2011 (18)
357;CYMACOR;Monoplex corrugatus;(Lamarck, 1816);F;CYM Cym 1;d20;Dmg;0;1, 6;
358;CYMBOLL;Cymbium olla;(Linnaeus, 1758);;;?;Dmg;0;1;
359;CYMONOD;Cymodocea nodosa;Ascherson, 1870;;;;V;;18, 19;2013 (18)
360;CYMUPER;Cymbulia peronii;Blainville, 1818;R;p. 279 Tav. 107;;Emo;0;1, 5, 6, 9, 11, 18;2011 (9)
361;CYSSCOM;Cystoseira compressa;Gerloff & Nizamuddin, 1975;;;;V;;18;2011 (18)
362;CYSSSPI;Cystoseira spinosa;Sauvageau, 1912;;;;V;;5;2013 (5)
363;CYSSSPP;Cystoseira spp.;C. Agardh, 1820 ;;;;V;;5;2013 (5)
364;CYSSZOS;Cystoseira zosteroides;C. Agardh, 1820 ;;;;V;;5;2013 (5)
365;CYSTDEL;Cystodytes dellechiajei;(Della Valle, 1877);;;;Etu;0;1, 5, 18;2011 (18)
366;DALOIMB;Dalophis imberbis;(Delaroche, 1809);C;86.03.01;;Ao;0;7, 8, 9, 10, 11, 15, 16, 17, 18, 19;
367;DARDARR;Dardanus arrosor;(Herbst, 1796);Z;241;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19;
368;DARDCAL;Dardanus calidus;(Risso, 1827);Z;242;;B;m;5, 6, 9;
369;DARDSPP;Dardanus spp.;Paulson, 1875;Z;240;;B;m;9;2011 (9)
370;DASICEN;Dasyatis centroura;(Mitchill, 1815);C;22.01.02;;Ae;0;5, 15, 17, 19, 22, 23, 25;
371;DASIPAS;Dasyatis pastinaca;(Linnaeus, 1758);C;22.01.01;;Ae;0;5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 19, 20, 22, 23, 25;
372;DASISPP;Dasyatis spp.;Rafinesque, 1810;;;;Ae;;16;2014 (16)
373;DASITOR;Dasyatis tortonesei;Capapé, 1975;C;22.01.04;;Ae;0;7, 8, 15, 22, 25;
374;DASIVIO;Pteroplatytrygon violacea;(Bonaparte, 1832);C;22.01.03;a19;Ae;0;1, 6, 7, 9, 10, 16, 17;
375;DASYSPP;Dasya spp.;C. Agardh, 1824 ;;;;V;;5;2014 (5)
376;DECAODA;Decapoda;Latreille, 1803;;;;B;;1, 9;2013 (1)
377;DELEEAE;Delesseriaceae;Bory, 1828;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
378;DENDGRA;Dendrodoris grandiflora;(Rapp, 1827);;;;Emo;;16;2013 (16)
379;DENDLIM;Dendrodoris limbata;(Cuvier, 1804);;;;Emo;;5;2013 (5)
380;DENDSPP;Dendrodoris spp.;Ehrenberg, 1831;R;p. 306;;Emo;0;18;2011 (18)
381;DENOGRO;Dendrodoa grossularia;(Van Beneden, 1846);;;?;Etu;;5;2013 (5)
382;DENRCOR;Dendrophyllia cornigera;(Lamarck, 1816);;;;Ecn;;1, 6, 16;2013 (1, 6)
383;DENRRAM;Dendrophyllia ramea;(Linnaeus, 1758);;;;Ecn;;16;2013 (16)
384;DENTDEN;Dentex dentex;(Linnaeus, 1758);C;139.03.01;;Ao;0;1, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 25;
385;DENTGIB;Dentex gibbosus;(Rafinesque, 1810);C;139.03.03;;Ao;0;15, 16, 17, 18, 19, 20, 22;
386;DENTMAC;Dentex macrophthalmus;(Bloch, 1791);C;139.03.04;;Ao;0;10, 15, 16, 17, 18, 20, 22, 25;
387;DENTMAR;Dentex maroccanus;Valenciennes, 1830;C;139.03.05;;Ao;0;1, 6, 18, 20, 22, 23, 25;
388;DENTSPP;Dentaliidae;Children, 1834;R;p. 310;;Esc;0;1, 6;
389;DEOSARA;Sergestes arachnipodus;(Cocco, 1832);;;b4;B;m;19, 20, 22;2011 (19)
390;DERBTEN;Derbesia tenuissima;P.L. Crouan & H.M. Crouan, 1867;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
391;DESCANN;Desmacella annexa;Schmidt, 1870;;;;Esp;;18;2013 (18)
392;DESMCRI;Desmophyllum dianthus;(Esper, 1794);;;e10;Ecn;;15, 16, 19;2013 (16)
393;DIAHMIN;Diaphana minuta;Brown, 1827;;;;Emo;;16;2013 (16)
394;DIAPHOL;Diaphus holti;Tåning, 1918;C;58.06.05;;Ao;0;1, 5, 6, 7, 8, 9, 16, 19, 20, 22, 25;
395;DIAPMET;Diaphus metopoclampus;(Cocco, 1829);C;58.06.07;;Ao;0;9, 10, 11, 15, 16, 19, 20, 22, 25;
396;DIAPRAF;Diaphus rafinesquii;(Cocco, 1838);C;58.06.09;;Ao;0;5, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
397;DIAPSPP;Diaphus spp.;Eigenmann, 1890;C;58.6;;Ao;0;1, 6, 8, 9, 11, 15, 16, 20, 22;
398;DIAZVIO;Diazona violacea;Savigny, 1816;R;p. 590 Tav. 235;;Etu;0;1, 2, 5, 6, 10, 18;2011 (10, 18)
399;DICAMAY;Dicranodromia mahieuxii;A. Milne-Edwards, 1883;Z;297;b5 ? ?;B;m;1;
400;DICELAB;Dicentrarchus labrax;(Linnaeus, 1758);C;124.04.01;;Ao;0;6, 7, 8, 9, 10, 16, 17, 19;
401;DICOCUN;Dicologlossa cuneata;(Moreau, 1881);C;198.04.02;?;Ao;0;1, 15, 19?;
402;DICOHEX;Dicologlossa hexophthalma;(Bennett, 1831);C;198.04.02;;Ao;0;6;2013 (6)
403;DICSLES;Dictyotales;Bory, 1828;;;?;V;;5;2014 (5)
404;DICTDIC;Dictyota dichotoma;Lamouroux, 1809;;;;V;;5, 6;2013 (5, 6)
405;DICYPOL;Dictyopteris polypodioides;Lamouroux, 1809 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
406;DIDELAH;Didemnum lahillei;Hartmeyer, 1909;;;;Etu;;18;2013 (18)
407;DIDEMAC;Didemnum maculosum;(Milne-Edwards, 1841);R;p. 588 Tav. 234;;Etu;0;18;2011 (18)
408;DIDESPP;Didemnum spp.;Savigny, 1816;R;p. 588;;Etu;0;18;2011 (18)
409;DIDMEAE;Didemnidae;Giard, 1872;;;;Etu;;1, 2, 5, 6;2013 (1, 2, 5, 6)
410;DIODGIB;Diodora gibberula;(Lamarck, 1822);;;;Emg;;1, 2, 5, 6;2013 (1, 2, 5, 6)
411;DIODGRA;Diodora graeca;(Linnaeus, 1758) ;;;;Emg;;5;2013 (5)
412;DIODITA;Diodora italica;(Defrance, 1820);R;p. 233 Tav. 87;;Emg;0;5, 6, 18;
413;DIODSPP;Diodora spp.;Gray, 1821;;;;Emg;;5, 6;2013 (5, 6)
414;DIOPNEA;Diopatra neapolitana;Delle Chiaje, 1841;;;;Epo;;7;2013 (7)
415;DIPGBIM;Diplecogaster bimaculata bimaculata;(Bonnaterre, 1788);C;208.02.01;;Ao;0;1, 2, 5, 6, 9, 16, 17, 22;
416;DIPLANN;Diplodus annularis;(Linnaeus, 1758);C;139.04.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 22, 23, 25;
417;DIPLCER;Diplodus cervinus cervinus;(Lowe, 1838);C;139.04.02;;Ao;0;1, 6;
418;DIPLPUN;Diplodus puntazzo;(Walbaum, 1792);C;139.08.01;a20;Ao;0;1, 6, 8, 9, 11, 16, 17, 22, 23;
419;DIPLSAR;Diplodus sargus sargus;(Linnaeus, 1758);C;139.04.03;;Ao;0;6, 7, 8, 9, 11, 16, 17, 19, 22, 23;
420;DIPLSPP ;Diplodus spp.;Rafinesque, 1810;;;;Ao;0;17;2014 (17)
421;DIPLVUL;Diplodus vulgaris;(Geoffroy Saint-Hilaire, 1817);C;139.04.04;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22;
422;DIPOLIS;Diplosoma listerianum;(Milne-Edwards, 1841) ;;;;Etu;;1, 2, 5, 6;2013 (1, 2, 5, 6)
423;DISMVAR;Distomus variolosus;Gaertner, 1774;R;p. 594 Tav. 238;;Etu;0;18;2011 (18)
424;DISOMAL;Distolambrus maltzami;(Miers, 1881) ;;;;B;;5, 6, 16;2013 (5)
425;DISTMAG;Distaplia magnilarva;(Della Valle, 1881);;;;Etu;0;18;2011 (18)
426;DORHTHO;Dorhynchus thomsoni;Wyville Thomson, 1873;Z;467;b6;B;m;1, 2, 5, 6;
427;DORILAN;Medorippe lanata;(Linnaeus, 1767);Z;312;b7;B;m;1, 2, 6, 7, 9, 10, 15, 18, 19, 20, 22, 25;
428;DORITHO;Dorhynchus thomsoni;Wyville Thomson, 1873;Z;467;b6;B;m;1, 2, 5, 6;
429;DORSPSE;Doris pseudoargus;Rapp, 1827;;;;Emo;0;1, 5, 18;2011 (18)
430;DORSSPP;Doris spp.;Linnaeus, 1758;;;;Emo;;1, 5, 6, 10, 18;2013 (1, 5, 6)
431;DORSSTI;Doris sticta;(Iredale & O'Donoghue, 1923);;;;Emo;0;18;2011 (18)
432;DORSVER;Doris verrucosa;Linnaeus, 1758;R;p. 304 Tav. 116;;Emo;0;1, 6;
433;DOSISPP;Dosinia spp.;Scopoli, 1777;F;VEN Dos;;Dmb;0;6;
434;DROMPER;Dromia personata;(Linnaeus, 1758);F;DROM Drom 1;;B;m;1, 2, 5, 6, 15, 17, 18, 20, 22, 25;
435;DUSSELO;Dussumieria elopsoides;Bleeker, 1849;G;48;? AL;Ao;0;25;
436;EBALCRA;Ebalia cranchii;Leach, 1817;Z;329;;B;m;1, 5, 6;
437;EBALDES;Ebalia deshayesi;Lucas, 1846;;;;B;;16;2013 (16)
438;EBALGRA;Ebalia granulosa;H. Milne Edwards, 1837;;;;B;m;20;2014 (20)
439;EBALNUX;Ebalia nux;A. Milne-Edwards, 1883;Z;328;;B;m;1, 6, 19;
440;EBALSPP;Ebalia spp.;Leach, 1817 ;;;;B;;1, 5, 6;2013 (1, 5, 6)
441;EBALTUB;Ebalia tuberosa;(Pennant, 1777);;;;B;;5, 6;2013 (5, 6)
442;ECHASEP;Echinaster sepositus;(Retzius, 1783);R;p. 567 Tav. 224;;Eec;0;1, 2, 5, 6, 7, 8, 9, 11, 18, 19;2011 (9, 18, 19)
443;ECHCCOR;Echinocardium cordatum;(Pennant, 1777);R;p. 560 Tav. 222;;Eec;0;9;2011 (9)
444;ECHCMED;Echinocardium mediterraneum;(Forbes, 1844);;;;Eec;0;18;2011 (18)
445;ECHDDAE;Echinidae;Gray, 1825;;;;Eec;;1, 2, 5, 6, 19;2013 (1, 2, 5, 6) 
446;ECHEMIR;Echelus myrus;(Linnaeus, 1758);C;84.01.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
447;ECHIDEN;Echiodon dentatus;(Cuvier, 1829);C;175.02.02;;Ao;0;1, 5, 6, 9, 15, 17, 18, 19, 25;
448;ECHNACU;Gracilechinus acutus;Lamarck, 1816;R;p. 558 Tav. 221;e11;Eec;0;1, 2, 5, 6, 9, 10, 17, 18, 19;2011 (9, 18)
449;ECHNMEL;Echinus melo;Lamarck, 1816;R;p. 558 Tav. 221;;Eec;0;1, 2, 5, 6, 9, 10, 11, 18, 19;2011 (9, 10, 18, 19)
450;ECHRURA;Echiura;Newby, 1940;;;;Ech;;1, 2, 5, 6;2013 (1, 2, 5, 6)
451;ECHTVIP;Echiichthys vipera;(Cuvier, 1829) ;C;148.01.04;;Ao;0;6;2013 (6)
452;ELECRIS;Electrona risso;(Cocco, 1829);C;58.08.01;;Ao;0;1, 2, 6, 9, 10, 16, 18, 19, 22, 25;
453;ELEDCIR;Eledone cirrhosa;(Lamarck, 1798);F;OCT Eled 1;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
454;ELEDMOS;Eledone moschata;(Lamarck, 1798);F;OCT Eled 2;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
455;ELEDSPP;Eledone spp.;Leach, 1817;F;OCT Eled;;C;0;7, 8;
456;ELYSVIR;Elysia viridis;(Montagu, 1804);;;;Emo;;16;2013 (16)
457;ENGRENC;Engraulis encrasicolus;(Linnaeus, 1758);C;35.01.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
458;EPIAMAC;Epigamia macrophtalma;(Marenzeller, 1874);;;;Epo;;2;2013 (2)
459;EPIGCON;Epigonus constanciae;(Giglioli, 1880);C;127.02.03;;Ao;0;1, 5, 6, 7, 8, 9, 15, 16, 19, 20, 22, 25;
460;EPIGDEN;Epigonus denticulatus;Dieuzeide, 1950;C;127.02.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
461;EPIGSPP;Epigonus spp.;Rafinesque, 1810;C;127.2;;Ao;0;7, 8, 9, 22, 23;2011 (9)
462;EPIGTEL;Epigonus telescopus;(Risso, 1810);C;127.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
463;EPINAEN;Epinephelus aeneus;(Geoffroy Saint-Hilaire, 1817);C;124.05.01;;Ao;0;10, 15, 16, 18, 19, 20, 22, 23, 25;
464;EPINALE;Epinephelus costae;(Steindachner, 1878);C;124.05.02;a21;Ao;0;16, 20;
465;EPINGUA;Epinephelus marginatus;(Lowe, 1834);C;124.05.04;a22;Ao;0;8, 15, 16, 20;
466;EPITCLA;Epitonium clathratulum;(Kanmacher, 1798);;;;Emg;;10;2014 (10)
